tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1419,2013-06-30 21:47:57,2013-06-30 22:11:36,116,W 17 St & 8 Ave,40.74177603,-74.00149746,146.0,Hudson St & Reade St,40.71625008,-74.0091059,15213,Customer,,0
1057,2013-06-30 21:47:54,2013-06-30 22:05:31,410,Suffolk St & Stanton St,40.72066442,-73.98517977,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,17030,Customer,,0
894,2013-06-30 21:47:59,2013-06-30 22:02:53,459,W 20 St & 11 Ave,40.746745,-74.007756,514.0,12 Ave & W 40 St,40.76087502,-74.00277668,18856,Customer,,0
507,2013-06-30 21:47:47,2013-06-30 21:56:14,345,W 13 St & 6 Ave,40.73649403,-73.99704374,439.0,E 4 St & 2 Ave,40.7262807,-73.98978041,18111,Subscriber,1976.0,1
445,2013-06-30 21:48:10,2013-06-30 21:55:35,529,W 42 St & 8 Ave,40.7575699,-73.99098507,529.0,W 42 St & 8 Ave,40.7575699,-73.99098507,18861,Customer,,0
1879,2013-06-30 21:45:14,2013-06-30 22:16:33,408,Market St & Cherry St,40.71076228,-73.99400398,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,17664,Subscriber,1978.0,1
423,2013-06-30 21:48:15,2013-06-30 21:55:18,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,309.0,Murray St & West St,40.7149787,-74.013012,18804,Subscriber,1979.0,1
1145,2013-06-30 21:48:19,2013-06-30 22:07:24,406,Hicks St & Montague St,40.69512845,-73.99595065,383.0,Greenwich Ave & Charles St,40.735238,-74.000271,17798,Customer,,0
882,2013-06-30 21:48:17,2013-06-30 22:02:59,446,W 24 St & 7 Ave,40.74487634,-73.99529885,405.0,Washington St & Gansevoort St,40.739323,-74.008119,16043,Subscriber,1979.0,1
1151,2013-06-30 21:48:22,2013-06-30 22:07:33,406,Hicks St & Montague St,40.69512845,-73.99595065,455.0,1 Ave & E 44 St,40.75001986,-73.96905301,18738,Subscriber,1977.0,1
1142,2013-06-30 21:48:23,2013-06-30 22:07:25,312,Allen St & Stanton St,40.722055,-73.989111,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,17211,Subscriber,1983.0,1
205,2013-06-30 21:48:05,2013-06-30 21:51:30,450,W 49 St & 8 Ave,40.76227205,-73.98788205,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,19034,Subscriber,1980.0,1
1737,2013-06-30 21:48:33,2013-06-30 22:17:30,391,Clark St & Henry St,40.69760127,-73.99344559,533.0,Broadway & W 38 St,40.75299641,-73.98721619,16477,Customer,,0
37198,2013-06-30 21:48:32,2013-07-01 08:08:30,545,E 23 St & 1 Ave,40.736502,-73.97809472,474.0,5 Ave & E 29 St,40.7451677,-73.98683077,18117,Customer,,0
362,2013-06-30 21:46:31,2013-06-30 21:52:33,411,E 6 St & Avenue D,40.72228087,-73.97668709,3020.0,NYCBS Test,40.6466068,-74.01597,14766,Subscriber,1979.0,1
1766,2013-06-30 21:48:45,2013-06-30 22:18:11,385,E 55 St & 2 Ave,40.75797322,-73.96603308,514.0,12 Ave & W 40 St,40.76087502,-74.00277668,15237,Subscriber,1966.0,1
456,2013-06-30 21:48:41,2013-06-30 21:56:17,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,350.0,Clinton St & Grand St,40.71559509,-73.9870295,19107,Subscriber,1980.0,1
